Date,Close
03-03-2015,102.34
03-04-2015,101.65
03-05-2015,102.52
03-06-2015,100.11
03-09-2015,100.66
03-10-2015,99.53
03-11-2015,98.32
03-12-2015,99.83
03-13-2015,99.21
03-16-2015,101.06
03-17-2015,99.89
03-18-2015,101.46
03-19-2015,101.69
03-20-2015,102.4
03-23-2015,102.98
03-24-2015,101.96
03-25-2015,100.34
03-26-2015,100.14
03-27-2015,100.34
03-30-2015,101.55
03-31-2015,100.6
04-01-2015,99.15
04-02-2015,99.64
04-06-2015,99.16
04-07-2015,100.1
04-08-2015,100.16
04-09-2015,101.33
04-10-2015,102.06
04-13-2015,100.55
04-14-2015,100.52
04-15-2015,100.6
04-16-2015,99.79
04-17-2015,99.58
04-20-2015,100.21
04-21-2015,100.3
04-22-2015,100.43
04-23-2015,100.46
04-24-2015,101.08
04-27-2015,100.58
04-28-2015,100.74
04-29-2015,100.39
04-30-2015,99.2
05-01-2015,100.13
05-04-2015,100.35
05-05-2015,99.5
05-06-2015,99.17
05-07-2015,99.66
05-08-2015,101.47
05-11-2015,101.03
05-12-2015,100.47
05-13-2015,100.55
05-14-2015,101.83
05-15-2015,102.3
05-18-2015,103.42
05-19-2015,103.96
05-20-2015,103.6
05-21-2015,102.42
05-22-2015,101.35
05-26-2015,100.82
05-27-2015,101.13
05-28-2015,101.15
05-29-2015,100.14
06-01-2015,100.04
06-02-2015,99.98
06-03-2015,100.09
06-04-2015,99.23
06-05-2015,98.59
06-08-2015,97.96
06-09-2015,98.21
06-10-2015,98.88
06-11-2015,99.24
06-12-2015,98.35
06-15-2015,97.49
06-16-2015,98.36
06-17-2015,98.73
06-18-2015,100.36
06-19-2015,99.86
06-22-2015,100.09
06-23-2015,99.78
06-24-2015,99.33
06-25-2015,99.12
06-26-2015,99.64
06-29-2015,97.68
06-30-2015,97.46
07-01-2015,98.47
07-02-2015,98.44
07-06-2015,98.2
07-07-2015,98.92
07-08-2015,97.77
07-09-2015,98.4
07-10-2015,99.53
07-13-2015,100.27
07-14-2015,99.78
07-15-2015,100.42
07-16-2015,101.11
07-17-2015,100.08
07-20-2015,100.37
07-21-2015,100.34
07-22-2015,100.18
07-23-2015,100.2
07-24-2015,99.15
07-27-2015,98.28
07-28-2015,99.02
07-29-2015,99.73
07-30-2015,99.84
07-31-2015,100.21
08-03-2015,100.02
08-04-2015,99.8
08-05-2015,100.52
08-06-2015,99.07
08-07-2015,98.85
08-10-2015,99.79
08-11-2015,99.01
08-12-2015,98.71
08-13-2015,98.48
08-14-2015,98.81
08-17-2015,99.87
08-18-2015,99.37
08-19-2015,99.31
08-20-2015,98.79
08-21-2015,95.56
08-24-2015,92.82
08-25-2015,90.73
08-26-2015,95.11
08-27-2015,96.22
08-28-2015,95.17
08-31-2015,93.98
09-01-2015,92.09
09-02-2015,93.35
09-03-2015,92.64
09-04-2015,91.31
09-08-2015,93.94
09-09-2015,92.22
09-10-2015,92.72
09-11-2015,92.93
09-14-2015,93.32
09-15-2015,94.4
09-16-2015,94.61
09-17-2015,94.84
09-18-2015,93.39
09-21-2015,93.13
09-22-2015,93.24
09-23-2015,92.99
09-24-2015,92.48
09-25-2015,91
09-28-2015,91.37
09-29-2015,93.04
09-30-2015,93.35
10-01-2015,93.17
10-02-2015,93.93
10-05-2015,94.76
10-06-2015,93.42
10-07-2015,94.98
10-08-2015,95.08
10-09-2015,95.37
10-12-2015,95.99
10-13-2015,95.45
10-14-2015,94.53
10-15-2015,97.15
10-16-2015,98.24
10-19-2015,97.94
10-20-2015,97.59
10-21-2015,97.63
10-22-2015,99.53
10-23-2015,100.31
10-26-2015,99.94
10-27-2015,100.19
10-28-2015,100.48
10-29-2015,101.37
10-30-2015,101.03
11-02-2015,102.17
11-03-2015,101.96
11-04-2015,101.94
11-05-2015,102.33
11-06-2015,101.92
11-09-2015,100.84
11-10-2015,101.45
11-11-2015,101.86
11-12-2015,100.27
11-13-2015,99.88
11-16-2015,101.22
11-17-2015,101.5
11-18-2015,102.67
11-19-2015,102.49
11-20-2015,102.48
11-23-2015,102.77
11-24-2015,102.04
11-25-2015,101.96
11-27-2015,102.37
11-30-2015,101.24
12-01-2015,102.36
12-02-2015,102.05
12-03-2015,100.79
12-04-2015,102.95
12-07-2015,103.32
12-08-2015,102.42
12-09-2015,102.15
12-10-2015,102.64
12-11-2015,101.68
12-14-2015,102.15
12-15-2015,104.13
12-16-2015,105.25
12-17-2015,103.64
12-18-2015,101.95
12-21-2015,101.58
12-22-2015,102.71
12-23-2015,103.49
12-24-2015,103.72
12-28-2015,103.22
12-29-2015,104.03
12-30-2015,103.78
12-31-2015,102.72
01-04-2016,100.48
01-05-2016,100.9
01-06-2016,100.39
01-07-2016,99.22
01-08-2016,98.16
01-11-2016,97.57
01-12-2016,98.24
01-13-2016,97.02
01-14-2016,98.89
01-15-2016,97
01-19-2016,97.5
01-20-2016,95.75
01-21-2016,95.94
01-22-2016,96.75
01-25-2016,96.4
01-26-2016,101.18
01-27-2016,102.16
01-28-2016,102.27
01-29-2016,104.44
02-01-2016,104.37
02-02-2016,103.41
02-03-2016,104.14
02-04-2016,103.9
02-05-2016,100.54
02-08-2016,102
02-09-2016,101.97
02-10-2016,101.73
02-11-2016,101.7
02-12-2016,101.82
02-16-2016,102.32
02-17-2016,102.5
02-18-2016,104.24
02-19-2016,104.16
02-22-2016,104.75
02-23-2016,104.08
02-24-2016,104.96
02-25-2016,106.38
02-26-2016,105.78
02-29-2016,105.21
03-01-2016,107.22
03-02-2016,107.04
03-03-2016,106.65
03-04-2016,106.5
03-07-2016,106.74
03-08-2016,106.22
03-09-2016,106.84
03-10-2016,107.14
03-11-2016,107.71
03-14-2016,107.66
03-15-2016,107.76
03-16-2016,107.41
03-17-2016,106.74
03-18-2016,107.5
03-21-2016,107.28
03-22-2016,107.38
03-23-2016,108.5
03-24-2016,108.31
03-28-2016,108.23
03-29-2016,109.14
03-30-2016,108.98
03-31-2016,108.2
04-01-2016,109.19
04-04-2016,108.59
04-05-2016,108.95
04-06-2016,109.42
04-07-2016,109.27
04-08-2016,109.1
04-11-2016,108.97
04-12-2016,109.6
04-13-2016,109.87
04-14-2016,109.84
04-15-2016,110.18
04-18-2016,110.93
04-19-2016,112.68
04-20-2016,113.58
04-21-2016,113.57
04-22-2016,113.32
04-25-2016,113.51
04-26-2016,112.91
04-27-2016,112.77
04-28-2016,112.48
04-29-2016,112.08
05-02-2016,112.75
05-03-2016,112.69
05-04-2016,112.22
05-05-2016,112.88
05-06-2016,112.74
05-09-2016,113.72
05-10-2016,114.67
05-11-2016,114.37
05-12-2016,114.23
05-13-2016,113.56
05-16-2016,114.44
05-17-2016,113.83
05-18-2016,113.59
05-19-2016,112.85
05-20-2016,112.64
05-23-2016,112.16
05-24-2016,112.69
05-25-2016,113.35
05-26-2016,112.9
05-27-2016,113.06
05-31-2016,112.69
06-01-2016,112.78
06-02-2016,114.49
06-03-2016,114.76
06-06-2016,115.77
06-07-2016,115.73
06-08-2016,115.8
06-09-2016,117
06-10-2016,117.01
06-13-2016,116.79
06-14-2016,117.12
06-15-2016,116.41
06-16-2016,116.64
06-17-2016,115.48
06-20-2016,116.54
06-21-2016,116.18
06-22-2016,116.46
06-23-2016,117.38
06-24-2016,115.63
06-27-2016,116.55
06-28-2016,118.23
06-29-2016,119.33
06-30-2016,121.3
07-01-2016,121.29
07-05-2016,122.27
07-06-2016,122.64
07-07-2016,122.51
07-08-2016,122.85
07-11-2016,122.93
07-12-2016,122.92
07-13-2016,123
07-14-2016,123.18
07-15-2016,123
07-18-2016,123.14
07-19-2016,125.25
07-20-2016,125.14
07-21-2016,125.15
07-22-2016,125.03
07-25-2016,124.89
07-26-2016,125.15
07-27-2016,124.77
07-28-2016,124.46
07-29-2016,125.23
08-01-2016,125.4
08-02-2016,124.85
08-03-2016,123.9
08-04-2016,123.86
08-05-2016,124.24
08-08-2016,123.65
08-09-2016,123.43
08-10-2016,123.36
08-11-2016,123.77
08-12-2016,123.22
08-15-2016,122.31
08-16-2016,120.33
08-17-2016,121.31
08-18-2016,120.72
08-19-2016,119.92
08-22-2016,119.13
08-23-2016,119.44
08-24-2016,118.71
08-25-2016,118.57
08-26-2016,119.04
08-29-2016,119.92
08-30-2016,119.47
08-31-2016,119.34
09-01-2016,119.08
09-02-2016,119.32
09-06-2016,119.75
09-07-2016,119.61
09-08-2016,119.47
09-09-2016,118.23
09-12-2016,119.16
09-13-2016,117.61
09-14-2016,117.86
09-15-2016,118.63
09-16-2016,118.25
09-19-2016,117.66
09-20-2016,117.95
09-21-2016,118.91
09-22-2016,119.46
09-23-2016,118.81
09-26-2016,117.78
09-27-2016,119.22
09-28-2016,119.39
09-29-2016,117.27
09-30-2016,118.13
10-03-2016,118.81
10-04-2016,118.82
10-05-2016,119.18
10-06-2016,118.75
10-07-2016,119.24
10-10-2016,119.8
10-11-2016,117.64
10-12-2016,117.97
10-13-2016,118.26
10-14-2016,117.56
10-17-2016,118.49
10-18-2016,115.41
10-19-2016,114.59
10-20-2016,114.87
10-21-2016,113.44
10-24-2016,113.61
10-25-2016,113.96
10-26-2016,114.56
10-27-2016,115.7
10-28-2016,115.33
10-31-2016,115.99
11-01-2016,115.34
11-02-2016,114.86
11-03-2016,115.03
11-04-2016,115.11
11-07-2016,116.66
11-08-2016,117.05
11-09-2016,120.31
11-10-2016,119.54
11-11-2016,118.47
11-14-2016,116.6
11-15-2016,116.32
11-16-2016,116.36
11-17-2016,116.57
11-18-2016,115.36
11-21-2016,115
11-22-2016,112.74
11-23-2016,113.07
11-25-2016,114.13
11-28-2016,113.13
11-29-2016,112.48
11-30-2016,111.3
12-01-2016,111.38
12-02-2016,111.96
12-05-2016,111.94
12-06-2016,112.06
12-07-2016,111.1
12-08-2016,110.99
12-09-2016,112.26
12-12-2016,115.36
12-13-2016,115.89
12-14-2016,114.99
12-15-2016,115.89
12-16-2016,115.88
12-19-2016,116.02
12-20-2016,115.66
12-21-2016,115.31
12-22-2016,115.44
12-23-2016,115.96
12-27-2016,115.91
12-28-2016,115.1
12-29-2016,115.49
12-30-2016,115.21
01-03-2017,115.84
01-04-2017,115.65
01-05-2017,116.86
01-06-2017,116.3
01-09-2017,116.28
01-10-2017,116.16
01-11-2017,114.73
01-12-2017,114.62
01-13-2017,114.6
01-17-2017,114.87
01-18-2017,114.7
01-19-2017,114.2
01-20-2017,114.15
01-23-2017,113.91
01-24-2017,111.76
01-25-2017,112.8
01-26-2017,111.84
01-27-2017,113.38
01-30-2017,113.13
01-31-2017,113.25
02-01-2017,113.23
02-02-2017,113.57
02-03-2017,113.64
02-06-2017,113.4
02-07-2017,113.48
02-08-2017,113.4
02-09-2017,114.08
02-10-2017,115.24
02-13-2017,115.88
02-14-2017,116.36
02-15-2017,117.2
02-16-2017,118.08
02-17-2017,118.86
02-21-2017,119.66
02-22-2017,119.52
02-23-2017,121.7
02-24-2017,122.73
02-27-2017,122.4
02-28-2017,122.21
03-01-2017,123.86
03-02-2017,123.63
03-03-2017,123.79
03-06-2017,123.71
03-07-2017,123.83
03-08-2017,124.1
03-09-2017,125.95
03-10-2017,126.21
03-13-2017,126.68
03-14-2017,127.05
03-15-2017,128.96
03-16-2017,128.46
03-17-2017,128.06
03-20-2017,128.07
03-21-2017,127.25
03-22-2017,126.26
03-23-2017,125.9
03-24-2017,125.48
03-27-2017,125.8
03-28-2017,125.66
03-29-2017,124.92
03-30-2017,124.66
03-31-2017,124.55
04-03-2017,124.69
04-04-2017,124.68
04-05-2017,124.8
04-06-2017,125.05
04-07-2017,124.92
04-10-2017,124.34
04-11-2017,124.22
04-12-2017,125.4
04-13-2017,124.99
04-17-2017,125.72
04-18-2017,121.82
04-19-2017,121.37
04-20-2017,121.87
04-21-2017,121.76
04-24-2017,122.89
04-25-2017,123.43
04-26-2017,123.51
04-27-2017,123.74
04-28-2017,123.47
05-01-2017,123.34
05-02-2017,123.7
05-03-2017,123.33
05-04-2017,123.95
05-05-2017,123.51
05-08-2017,123.25
05-09-2017,123.21
05-10-2017,122.81
05-11-2017,123.2
05-12-2017,123.64
05-15-2017,126.99
05-16-2017,127.77
05-17-2017,126.67
05-18-2017,126.97
05-19-2017,127
05-22-2017,127.26
05-23-2017,127.52
05-24-2017,127.51
05-25-2017,127.53
05-26-2017,126.92
05-30-2017,127.11
05-31-2017,128.25
06-01-2017,128.78
06-02-2017,130.08
06-05-2017,130.36
06-06-2017,130.83
